text,label
ঢাকা কলেজ মানেই অন্যায়ের বিরুদ্ধে প্রতিবাদ।🔥🔥🔥🔥,0
"হায়রে নাটক, আর কত দিন। একদিন আল্লাহ তোমাদের বিচার করবে",1
"বুধবারের ঘটনা আর আপনারা প্রচার করছেন আজকে, কেন কুমিল্লাতে কি আপনাদের কোনো সাংবাদিক নেই? যার কারণে এত দেরি করে রিপোর্ট করলেন?সরকারের দালালি বন্ধ করেন বুঝলেন,জনগণ সব বুঝে কর ইশারায় এখন এই সংবাদ প্রচার করছেন...!",1
আল্লাহর সব জায়গায় চলবেই চলবেই চলবেই তোর বাপের মোদিরও খমতা নেই যে আল্লাহর নাম উচ্চারণ বন্ধ করবে,1
"এতো গুলো কমেন্ট দেখলাম.... সবাই ব্রেন ওয়াশ। শুধু আপনার কমেন্টে পড়ে মনে হলো বাংলাদেশ এও শিক্ষিত মানুষ আছে। সব ধর্মের লোক যদি তাদের ধর্মের পোশাক পরে আসে তাহলে সেটা আর শিক্ষা প্রতিষ্ঠান থেকে না, সেটা ধর্মীয় স্থান হয়ে যায়। হিন্দু রা বলছে সবাই ইউনিফর্ম পরে আসুক। তারা ও ইউনিফর্ম কে সাপোর্ট করছে। আর সরকার ও বলছে শিক্ষা প্রতিষ্ঠান ছাড়া সব জায়গা তে যে যা ইচ্ছে পর",2
হিন্দুদের গোলামী আর কত করবি তোরা সীমার বাইরে গোলামী করতেছিস লজ্জা হওয়া উচিত তোরা নাকি মুসলমান নিরাপত্তা না দিয়ে তোরা হিন্দুদের পূজার নিরাপত্তা,1
স্বাধীন মতপ্রকাশ করবে ঠিক আছে কিন্ত আমার আল্লাহ আর তার রাসূলকে নিয়ে উল্টো পাল্টা লেখা কখনো মতপ্রকাশের স্বাধীনতা হতে পারে না।তাই এই ভাইগুলো যা করছে ঠিক করছে আমাদের ব্যর্থতা আমরা কিছু করতে পারিনি,1
কুত্তার বাচ্চা আল্লাহ্ তদের বিচার করবে,1
কুরআন শরিফ কে অবমাননা করায় কনো অপরাধ হয়নি।কারো গায়ে ও লাগেনি।আর মন্দির ভাংচুর করায় কলিজায় গিয়ে লাগছে।যত্যসব নাম ধারি মুসলমান। ইহাতো আল্লাহ কুরআনে বলেই দিছে কিছু নামধারি মুসলমান মুখে বলবে আমিমুসলিম এক আল্লাহর ইবাদত করি।আর অন্তরে বলবে আমি তো শয়তানের ইবাদত করি।আমি কেনো মুসলমানের দলে যাবো।আল্লাহ আপনি হেদায়েত দিন ঐ সব ব্যক্তি দের,1
আল্লাহর গজব মিডিয়ার উপরেও আসবে অপেক্ষায় থাকো,2
বিজ্ঞানমনস্ক লেখনীর জন্য হত্যা করা হয়নি হত্যা করা হয়েছে ইসলামের বিরুদ্ধে লেখার জন্য।আর যারা আসামি হিসেবে সাজা পেয়েছেন আল্লাহ জানেন তারা সরকারের বিরধিতা করার ফল ভোগ করছেন।,1
"ঢাকা কলেজে আগুন লাগিয়ে এই কুলাঙ্গার ছাত্রদের পুরিয়ে মারা উচিৎ,, এরাই এখন গলার কাটা",2
পুলিশ কে গণধোলাই দিলে সঠিক বিচার পাবে ছা,2
আওমালীগ তাদের ক্ষমতা আছে। গালি কেন আর সব করার অধিকার রাখে।,0
"অন্যর ধর্মীয় অনুভূতিতে আঘাত দেয়া,,এ কেমন স্বাধীনতা?এদের বিচার সরকার সুষ্ঠুভাবে করে না কেন?",0
"ধর্মের ব্যাপারে নিরপহ্ম মানেই জাহান্নামি! ভালো করে কোরআন পড় নাস্তিক, বেইমান, কাফের আবুজাহেল বাহিনী।",1
আমাদের স্বাধীন দেশ,0
হিজাব পরা নারীর অধিকার।,0
মালাউন ভারতের তারা সংখ্যায় বেশি হিন্দু নেতা দেশ এখন মুসলমান উপর অন্যায় জুলুম অত্যাচার করে সরকার তামাশা দেখে একসময় হিন্দুদের সু রক্ষা মুসলমান দিয়েছে এখন ও দেয় কিন্তু জুলুম বাজ হিন্দু বুঝে না,1
আওয়ামী লীগ চোর,1
সকল ছাত্রদের এক হয়া উচিত এবং নিউমার্কেট কে বয়কট করা উচিত।,2
যে মারা গেল তার জন্য কিছু একটা করা হোক,0
হাসিনা অাপা ভোট চোর,1
"যে কোন দেশের সংবিধানের উপর নির্ভর করে অনেক কিছু। ভারতের সংবিধানে ধর্মীয় স্বাধীনতা ভোগ করার মৌলিক অধিকার দিয়েছে। তবে স্কুলে ছাত্র-ছাত্রীদের নির্দিষ্ট স্কুল ড্রেস রয়েছে। তাকে ঐ ড্রেস পড়ে স্কুলে আসতে হবে অন্য কোন ড্রেস পড়ে আসলে স্কুল কর্তৃপক্ষ তাকে স্কুলে ঢুকার অনুমতি নাও দিতে পারে। যেমন দরুন ছাত্রীট হিজাব পড়ে এসেছে বিধায় তাকে স্কুলে ঢুকতে দেয়া হয়নি। বাংলাদেশে কোন ছাত্র যদি গলায় তুলসী মালা, রামাবলি, ধূতি ও পায়জামা পড়ে য়দি স্কুলে আসতে চায় স্কুল কর্তৃপক্ষ কি তাকে স্কুলে ঢুকার অনুমতি দিবেন।",1
মজা পাইলাম ভাই পুরা লালা টুলু।,0
"আপু আপনি যা করছেন,, খুব ভাল করছেন,, সেলুট আপু",0
তারা কিন্তু মেয়েটিকে ধর্ষন করে নি। যা বাংলাদেশে দেখতে পাওয়া যায়।,0
সারা বাংলাদেশে ১৪৪ ধারা জারি করে সমস্ত মণ্ডপগুলো বন্ধ করে দেওয়া হোক।,2
আওয়ামীলীগ রাজাকার কখনো একটা ভালো নির্বাচন দিবেনা,1
"হেলমেট বাহিনী মানে ধর্ষন লীগ অর্থাৎ প্রদান মন্ত্রী,",1
ভোট চুরি করলে তো খুন হবেই,1
তোদের কুফরী সংবিধানকে তুতু মারি তাগুতের দালাল কোথাকার,1
"মাদ্রাসার ছাত্র হলে , বলতো এরা আই এস, রাজাকার, মৌলোবাদি, জি এম বি, ধর্ম বিরোধী।",0
দেশ সেনাবাহিনীর হাতে তুলে দেওয়া হোক তাহলে দেশের মানুষ শান্তিতে থাকতে পারবে,2
কে নিবে এই দায় কলেজ শিক্ষার্থীরা না ব্যবসায়ী? কিছু উগ্রবাদী অধিকার আদায়ের নামে আন্দোলন করে ভাঙচুর করে মাঝে নিরহ মানুষের প্রাণ যায় ধিক্কার জানাই এই আন্দোলনকারীদের,0
‌বি‌বি‌সি নিউজ ম‌নে করলাম মোটামু‌টি প‌রিপক্ক। বি‌বি‌সি নিউজ এখন ম‌নে হল চরম গাদামীর প‌রিচয় দি‌তে‌ছে। বাংলা‌দে‌শে কোন দিনই সংখ‌্যালু‌গদের মুসলমান নির্যাতন ক‌রে না । কোন মুসলামান হিন্দু‌দের আক্রমন ক‌রে না। এটা বি‌বি‌সি কেন একটা অবুঝ শিশু ও বু‌ঝে আবার হিন্দুরাও বু‌ঝে। কিন্তু বি‌বি‌সি কেন এটা নি‌য়ে সব সময় বারাবা‌ড়ি ক‌রে। এরা হল দাবার গু‌টি তাই খেলয়ারার এ‌দের নি‌য়ে আবার মুসলমান‌দের দলগু‌লো নি‌য়েও দাবা খে‌লে। ছাগল কোথাকার হয় চুপ করে থাক না হয় স‌ত্যি বিষয় নি‌য়ে নিউজ কর।,1
"পুলিশ গুলি করতে কি ভয় পায়, শিবিরের বিষয়ে হলে তো তখন আর ভয় পায় না।",1
ফুটপাতে কোন দোকান থাকবে না এটার জন্য এখনই উপযুক্ত সময় আন্দোলন করার। প্রতিদিন অনেক পথচারী কে এই ফুটপাতের দোকানদারের হাতে নাজেহাল হতে হয়।,0
ধরা খাইয়া গেছে 😁😁😁😁 আর কয় ভাই বোন ঝগড়া লাইগা গেছে ভাই 😁😁😁 আর কত চুরি করবি কুত্তা লিগের কুত্তারা 😁 আমরা নাটক বুঝতে পেরেছি 😁,1
দেখা যাক কার উগ্রতা জিতে। তখন এসে একটা সুন্দর কমেন্ট করব👍👍,0
দালাল মিডিয়া তোর গালে কুত্তা দিয়ে মুতামু।৭১টিবির মতে।রেডি থাক।,1
আল্লাহ কাফেরদের ধ্বংস করুন।,2
এত সুন্দর একটা দেশ যেখানে ছিলোনা হিন্দু মুসলিমের কোন দাঙ্গা হাঙ্গামা আর এখন এই সব কিভাবে হচ্ছে।,0
বাংলাদেশের রাজাকার হল।পুলিশ,1
"মুমিনের দলের খুব আশা ছিল ধরা পড়বে হরিদাস পাল, কিন্তু ধরা পড়লো ইকবাল-- এটাইতো হওয়ার কথা। কোন হিন্দু কি নিজের উৎসব নষ্ট করার জন্য এই কাজ করে নিজের পায়ে কুড়াল মারবে? এসব মুমিন মুতলমানের কাজ ছাড়া কিভাবে সম্ভব। সারা দুনিয়া জুড়ে এই নরপিশাচ মুমিনের দল এভাবেই দেশে দেশ আগুন লাগিয়ে নাকি শান্তির ধর্ম কায়েম করছে।",1
এই যদি হয় একক নির্বাচনের অবস্তা সব দল নির্বাচন করলে কি হবে তখন সাংবাদিক ভাই একটু বলবেন।এখন লুটপাটের হিরিক দেখছেন।,0
মত প্রকাশের স্বাধীনতার কথা আপনারা তখন ত বলেন না যখন নেত্রীকে কিছু বললেই জেলে নিয়ে জাওয়া হয়! মহানবী (সাঃ) কে গালি দেওয়াকে এখন আপনারা মতপ্রকাশের অধিকার এর দুহাই দিচ্ছেন আল্লাহ তুদের বিচার করবে ইন্সাল্লাহ! আফসোস হে জাতি!,0
"তাইলে মার্কেট বন্ধ করে দাও,,মার্কেট কেন খোলা থাকবে??",2
".......প্রিয় সাংবাদিক ভাই-★কাজ না থাকলে বাল ছিড়েন তাতে নিজের আগাছা পরিস্কার হবে।।★নিউজ না পেলে গাঞ্জা গাছ লাগান, বৃক্ষরোপনের সাথে পিনিকও হবে।।★কিছু করার না থাকলে পু *কির ভিতর আঙ্গুল দিয়া বসে থাকেন,তাতে বাথরুম ক্লিয়ার হবে।।★একদম কোন কিছু করার মত না পেলে পাবলিক বাসে ফেরি করে কনডম বিক্রি করুন,তাতে দেশে আপনার মত ফাউলমার্কা সাংবাদি কের জম্মরোধ হবে!!তারপরও এই সব নিউজ করবেন না প্লিজ",1
"কতটা লাভ দেখছেন এরা নির্বাচিত হয়ে লুটপাট করার জন্য পাগল হয়ে গেছে,",1
হিজাব পড়লে যদি তালেবান উপাধি দেয়া হয়।তাহলে তালেবানদের উচিত হবে ভারতে হামলা করা।,2
"অসৎ এর বাচ্চারা তোরা কলেজ বিশ্ববিদ্যালয়ে এগুলো করার জন্যেই যাস, আর তোদের জন্য নীরিহ মানুষরা মারা যায়😡",1
"স্বাধীন মত প্রকাশ কি ! এইটার অর্থ বুঝে তারা ? যদি বঙ্গবন্ধু কে নিয়ে কথা বলি,তাহলে সেইটা হয় সম্মানহানি, কিন্তু মুহাম্মদ (সাঃ) কে নিয়ে কথা বললে,সেইটা হয় স্বাধীন মত প্রকাশ । বাহ !",0
য়ে দুধরে ভাই মাল কি সেই,1
দেশে বি এন পি আছে না কি গুজব,0
আল্লাহ তগো বিচার করবে?,0
"দেশে এখন এ নিয়ে শুরু হবে তদন্ত,,, আর এর ফলাফল পাবা 50 বছর পরে গিয়ে!!!!!🤦‍♂️🤦‍♂️🤦‍♂️",0
"বেয়াদবি মাফ করবেন 🙏আমার মুসলমান ভাই যারা বলতেছ না ধর্ম যার যার উৎসব সবার তাদের কাছে আমার ছোট একটা প্রশ্ন,,?? তুই যে বলতাছস ধর্ম যার যার উৎসব সবার তোর সাথে আমাদের ঈদের নামাজ পড়তে কয়জন হিন্দু গিয়েছে,,,,? যারা কস না ধর্ম যার যার উৎসব সবার তোদের জন্মের ঠিক নাই, তাই তোদেরকে বলতেছি ভালো হয়ে যা,না হয় আল্লার গজবের জন্য প্রস্তুত থাক ,,!✅",1
"হাস্যকর এক দেশে পরিণত হচ্ছি আমরা কেনা কাটার মতো সামান্য বিষয়ে প্রায় যুদ্ধ লাগাইয়া দিছে রাস্তায়।আমাদের দেশে ফকির থেকে শুরু করে প্রধানমন্ত্রী প্রত্যেকেরই প্রচুর ক্ষমতা।একজন মুচির কথা শুনুন বা চাকরিজীবীর কথা শুনুন মনে হয় সেই দুনিয়ার সব বোঝে ,সেই দুনিয়ার সবচেয়ে ক্ষমতশালী ব্যাক্তি।",0
কুমিল্লার ঘটনায় অন্য যায়গায় কেন হামলা এতে করে জিহাদ করা যাবে না সবচেয়ে বড় জিহাদ ফযরের নামায জামাতে আদায় করা।,0
খুবই দুঃখজনক। এই ঈদে ব্যাবসায়ীরা অনেক ক্ষতিগ্ৰস্ত হবেন।,0
ভাই এখন রিপন গুরুপের লুকেরা ডাকা তি করে পুরা আলুকবালি ইউনিয়নের মধ্যে,1
ইসলামের বিরুদ্ধে লিখলে ই বিজ্ঞান মনস্ক হয়ে যাবে নাকি?কেন অভিজিৎ কে মারা হলো তা একবারও বলল না।,1
"১ সেকেন্টের মুল্য বুঝতে চান? তাকে জিজ্ঞেস করুন, যে এক্সিডেন্টের হাত থেকে রক্ষা পেল.... ।",0
কোরআন শরীফ কে রেখেছে তার কোন খবর নাই কিন্তু হামলা হয়েছে তার খবর সব কিছু রয়ে,1
"সাংবাদিক ভাইয়েরা অনুগ্রহ করে অর্থবিত্তদের দিকে গিয়ে কাজ করবেন না,, বেকার স্টুডেন্টরা অসহায়ের মতো মার খাচ্ছে,,,, আমরা চাইবো নিরপেক্ষ খবর প্রচার করা হোক।",0
আল্লাহ যারা নিজের শান্তির জন্য ইসলামের খতি করে দেখও মিথ্যা কথা বলে তাদের কে তুমি ধংশ করে দেও।,2
যেইসব ছাত্র সমাজের সুন্দর বুঝেনা বদ্রতা বুঝেনা মাস্তানি করে এদেরকে কলেজ বিশ্যাবিদ্যালয়ে পরিয়ে লাভনেই এদেরকে দিয়ে মুচির কাজ করালেই এরা ভালোহবে গারজিয়েনদেরকেও ব্যাবস্থা নিতেহবে।,1
"এই সুজোকে কিছু রাজনৈতিক দল তাদের ফায়দা তোলার চেষ্টা করবে, হিন্দু ও মুসলিমদের মধ্যে বিভেদ সৃষ্টি করবে। সব রাজনৈতিক খেলা যা জনগণ বুঝেনা।",0
আমরা লাইভ সরাসরি দেখছি। তাহলে এটা গুজব হয় কিভাবে। বাংলাদেশের মানুষ কি ফালতু কথা বোঝানোর সময় শেষ,0
বাহক হলে কোরানের অবমাননা করা যাই।,1
এই সাংবাদিক আওয়ামী লীগের দালাল তা দেখে বুঝাযায়,1
ওর বিচার চায় আমরা হিন্দু🙏🙏🌹🌹❤️❤️,0
ঢাকা কলেজের মত ঐতিহ্যবাহী শিক্ষা প্রতিষ্ঠা বিরুদ্ধে এটা ষড়যন্ত্র।,1
সময় এসেছে নিউ মার্কেটের ব্যবসায়ীদের উচিত শিক্ষা দেওয়া!!!,2
আসসালামু আলাইকুম আমার প্রাণ প্রিয় মুসলিম ভাই এবং হিন্দু ভাই ও বোনেরা এমনকি কখনো দেখেছেন যে কোন মুসলিম ভাই এবং বোন কোন হিন্দু বোনদের উপর এরকম আক্রমণ করে,0
এই দেশের জনগন কে গুলি করে মারার অধিকার কে দিয়েছে পুলিশ লীগ কে কুত্তালীগের নাস্তিক বাচ্চা তদের কে এক দিন কঠিন বিচারে মুখোমুখি হতে হবে,1
ক্ষমতা দেওয়ার মালিক আল্লাহ তাই পবিত্র কালামের সাথে যারা বেয়াদবি করবে তাদেরকে এই পৃথিবীর বুকে আল্লাহ থাকতে দিবে না,0
কত গর্ভ করে বলে এরা যে আমার ছাত্রলীগ এর ছেলে🤣।আর এইদিক এ যেই মা তাকে ৯ মাস পেট এ ধরে যে মা জন্ম দিল তার কথা চিন্তা না করে মারামারি করতে এসে পরে তাদের নেতা বাপ দের ডাকে🤣।,0
ছি ছি তোদের মতন শয়তান মুসলিমকে ধিক্কা জানাই। প্রবিএ কোরানকে অপমান করে। তোরা বলছ ষড়যন্ত্র। তোদের বিচার মহান আল্লাহ পাক করবেন। ইনশাল্লাহ,1
একটা ভুয়া ভিডিও তৈরী করে মানুষের চোখে ধুলো দেওয়া বন্ধ কর,1
ওরা জংগী তাই না?..আল্লাহ তোর বিচার কোরবে. আর ওদেরও....,0
আল্লাহ কোন দেশে বসবাস করি।আওয়ামীলীগের উপর গজব নাজিল করো।,2
ধন্যবাদ ভাই 🌹🌹🌹🌹😭😭😭🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏💖💖💖💝💝💝🌹🌹🌹😭😭🙏🙏🙏🙏,0
রেন্ডির ছেলে পাগল হয়ে গেলো ধরাপড়তেই মা। চোদার ফাঁসি চাই,1
বুজে আসেনা .এরেপোটার কি ভাবে বিবিসিতে চানস দিলো . এক প্রোসনো বার বার করে . ৷ বিবিসি কে অনুরধ জানাই .তাদের নাম খারাভ না করে ৷ আশা করি একটু দেখবে . ৷ ধননোবাদ বিবিসি বাংলা কে ৷,0
"সাংবাদিক কি সুন্দর কথা পুলিম টিযার গ্যাস ছুরে নিয়ন্ত্রণে আনে, এদিকে লোকজনের জিবনের বেহাল দমা",0
🚫ওপর মহলের অনুমতি পেতে সময় টিভির দেরি হওয়ায় এই নিউজটির সম্প্রচার সময় মত না করে অসময়ে করা হল । আশা করি দেশের বিবেকবান 🤔জনগণ বিষয় টি বুঝতে পারবেন । আর যারা বুঝবেন না তাদের তো বিবেক-ই💩 নাই অতএব তাদের বুঝারও দরকার নাই ।,1
আমাদে দেশে সকল মুসলিম মেয়েদের হিজাব পরা যাওয়া উচিত শিক্ষা প্রতিষ্ঠানে।,0
